,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
OR4F29,-0.001671981210127135,-0.02451190999395437,0.12354113134551994,0.006057339179608189,0.03085351712917053,-0.10657322802221955,-0.0967034036480344,0.0016204110855217492,-0.168873516362007,0.06764023662145828,0.003472268913506396,-0.16368869896208518,-0.2917126919386827
OR4F16,-0.001671981210127135,-0.02451190999395437,0.12354113134551994,0.006057339179608189,0.03085351712917053,-0.10657322802221955,-0.0967034036480344,0.0016204110855217492,-0.168873516362007,0.06764023662145828,0.003472268913506396,-0.16368869896208518,-0.2917126919386827
SAMD11,-0.006899053047996101,-0.012478849369282253,0.11920313769922956,0.012703900663987694,0.017557688081945844,-0.12788808382699318,-0.12666972242271088,-0.004012450963603235,-0.14683629485663113,0.11862166775266376,-0.005068806365097461,-0.15818795787301573,-0.31446067827747337
NOC2L,-0.006202594345376332,-0.012473303991115986,0.11023414403282578,0.011917926882144663,0.019476277351032027,-0.13352715060940268,-0.13151509933250427,-0.0037387192753716913,-0.15156792778933892,0.11178583342126647,-0.005384832623837292,-0.15902987517513886,-0.3177944051214719
KLHL17,-0.0059326508433503585,-0.012841632332851636,0.11074969462762686,0.011931612025985259,0.017949562209933934,-0.14165204702535175,-0.13708672805938868,-0.005025530376651093,-0.14552943098357304,0.10616454525676114,-0.005426915400718058,-0.14874871552785557,-0.30681992478437103
PLEKHN1,-0.005187897810171871,-0.013606046482363745,0.10902799950366825,0.011754232929634017,0.013928459017052154,-0.15946863921376966,-0.14793670537403097,-0.00834996212727458,-0.1272085183846946,0.08928899574501442,-0.005571355819139527,-0.12009871045158128,-0.2696988187959641
PERM1,-0.005187897810171871,-0.013606046482363745,0.10902799950366825,0.011754232929634017,0.013928459017052154,-0.15946863921376966,-0.14793670537403097,-0.00834996212727458,-0.1272085183846946,0.08928899574501442,-0.005571355819139527,-0.12009871045158128,-0.2696988187959641
HES4,-0.019117986150291852,-0.01947963348351351,0.06931478811371822,0.012855683771553866,0.029780939171259277,-0.08275024766833301,-0.20109030174913817,-0.01010704299686866,-0.20397126437013235,0.10277506630477912,-0.018700723363817087,-0.2067225899113201,-0.23057638541616726
ISG15,-0.019117986150291852,-0.01947963348351351,0.06931478811371822,0.012855683771553866,0.029780939171259277,-0.08275024766833301,-0.20109030174913817,-0.01010704299686866,-0.20397126437013235,0.10277506630477912,-0.018700723363817087,-0.2067225899113201,-0.23057638541616726
AGRN,-0.017392116995998942,-0.019552157343231093,0.057319053815901355,0.011679951312924885,0.03331203043016591,-0.08640863671975768,-0.20776738110169543,-0.009744337724471079,-0.2102285852518577,0.09384001175782976,-0.019585965690765202,-0.2064846183104532,-0.23071554080776846
