,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
A1BG,0.3075430750376971,0.14763844874944376,-0.0320071504383505,-0.03967078524174684,0.5193093734721493,-0.02014058533381401,-0.021966843546816543,0.003953113394639123,-0.3648497731712652,0.012654242293280249,-0.015775169392722357,0.0018929994343446688,0.000794057579200171
A1BG-AS1,0.3041292308147809,0.12561501213061674,-0.007145740348665139,0.11791110308154461,0.27145986885086637,0.082917607238132,-0.02077937220558134,0.09111567396733929,-0.20585503719581827,0.08645819259292592,0.00453270332672319,-0.023813545667290215,-0.0004331403915672936
A1CF,0.20814145734258552,-0.3777478589568814,-0.07905646297195765,-0.28477872987786496,-0.1450585361708466,0.0037590228681225937,-0.1779586167493431,-0.008470239196879408,-0.00020357617538270867,0.050382215353855175,0.04761916311068484,-0.1271777269052787,-0.07907948761694729
A2M,0.3741186020232925,0.007500700022039985,-0.000927500265130025,-0.006527019077767607,-0.22874898194527604,0.018038871454883646,-0.09129660166369707,0.013344524964688987,0.37196487322290206,0.09473317661346058,0.02429149211319476,0.00413476284898539,-0.009508135906618784
A2M-AS1,0.41215254552989655,0.005393156671151765,-0.05594928634283015,0.5215674461681228,-0.0006509404470943416,0.0018355389146769436,0.004152771781622785,0.017927012398550397,-0.15870132797951425,-0.012067602363337548,0.002789131441819181,-0.002552157455918253,0.030259765152726555
A2ML1,-0.01604074698617961,0.2952188485450371,0.015648471805043824,-0.27976608902710826,0.0105798045057358,0.028030019068609326,0.20142288234399963,0.24430740775390333,0.024184466041026816,0.036617787109419965,-0.06642031173650871,0.12304372929613103,0.28852212236396263
A2MP1,0.27172072024704397,-0.006148150613249547,-0.05457614594196187,0.37403155611393624,-0.0036010491124299515,0.03306255223975837,0.030045567749026402,-0.020718313482246398,0.006541482119168048,-0.1397785883366394,-0.03560439417353099,0.023465291431936736,-0.04852028416133503
A3GALT2,0.005878013063827725,0.008208163548946537,0.0042261256062667615,-0.03859006902621338,0.1883656431635722,0.006792308847277797,-0.08107437542152336,0.013002373334231758,-0.030214258049577537,-0.004614029098614831,0.0317216766308339,0.014899132849474504,0.09289693677025347
A4GALT,-0.0314959546897215,0.38068859770807095,0.15980484663229902,0.01178685579901771,0.28474493916921806,0.08400764063213009,0.1339100490318602,-0.021158964490092212,0.10556136439446663,0.0173010545232866,-0.1820924293169527,0.0009136231159474963,5.5831310375581284e-06
A4GNT,0.1521013247843542,-0.3207064692161363,-0.11621701298083435,-0.1343914526689483,0.002634742492159282,0.014686788236852408,-0.11702248369863888,0.02654655320959248,-0.04222499898657585,-0.01031861832880122,0.02056602343192085,-0.05461023419308747,0.0142732487570276
AA06,0.03807258801036047,0.014290922096163824,-0.02186913454511737,-0.006247765443720832,0.029000676923560356,-0.011161239758522522,0.04287306590871082,-0.012145225870564753,0.03693611505732097,0.03123955711644126,0.01969552245764547,0.003381355916249225,0.020815369837066146
AAAS,-0.07706318086978517,0.007642372974190518,0.00567845553730431,-0.01641501370047735,0.3462574391866796,0.36111717664888854,0.037458992776961464,0.025118127565472995,-0.17129804051518724,0.021719411314115575,-0.03534874586665004,-0.04895594928672215,0.01635497426215196
AACS,-0.04069616099857899,-0.2651610151135594,-0.016733988645353574,-0.039938373805557106,0.12519867936696885,0.08111811226839383,-0.22506169553269761,0.03901591423552416,-0.04388119281428499,-0.02983940160153762,0.12668685751155045,-0.6125071459223386,-0.22422542728243083
AACSP1,-0.005344775174084227,-0.04750473376516,-0.007419485812529624,-0.3082080652362971,0.07118858497154999,-0.06470466359054577,0.0875137867458196,-0.021385852472864772,0.014728504630956677,0.21365851926754265,0.0035423744633171377,-0.01951513386954653,-0.061567427812280466
