,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
hsa-let-7a-3p,0.03832442954911539,-0.18732641793480181,-0.0005161893300570677,-0.09829231220497324,-0.005692416007267303,-0.012442819322034667,-0.014173203093232094,-0.0014197432216924019,-0.00468415225403399,-0.007580453717598652,-0.020183785549721122,-0.08571656188232975,-0.008738196772377908
hsa-let-7a-5p,0.09113280985058797,0.002341307289530659,-0.14293028487417136,-0.05971223134974263,-0.9282357346020598,-0.006442445886394944,0.020632495711588147,-0.00024010799349173073,0.007541671432756763,0.03171049095706427,0.0016707401344608235,0.005764570306126054,-0.024629436518744493
hsa-let-7b-3p,0.055389744352264854,-0.026041518200455777,0.01608705390749801,-0.061942262997783375,0.8494187757315123,-0.006540988004665882,0.0019839391415473495,0.0037065125378470546,0.0009668281978610664,-0.016982699733091442,-0.02843895485521676,0.03832613681869856,0.017709779690000364
hsa-let-7b-5p,0.029823130929054486,0.012590173442695902,-0.07009124102315821,-0.10077519646348307,-0.8706877112780224,0.0016981275301258495,0.04050202932220481,-0.004033975281254386,0.2871650174268658,0.03164920904746931,0.008430158490773733,0.06460005329230599,-0.01662334595489417
hsa-let-7c-5p,0.1286832710322404,-0.010444618690221074,-0.0030503567462721866,-0.06454931047486072,0.9305893292785444,-0.03764415176067498,-0.008833980580399813,0.020678788133838888,-0.0007561546189098248,-0.011817713562950964,-0.011903340509755611,0.014462983897682132,0.01650128280383747
hsa-let-7d-3p,0.004796868263823461,-0.006102068098158604,0.09662053867545174,0.003957052805014858,0.8778531508162813,-0.015192258016106923,-0.016282055232546812,-0.007452812060634212,-0.021752778045512507,-0.03648939757916024,-0.022707576195554236,-0.008456741485219549,-0.024293094523767652
hsa-let-7d-5p,-0.0009331056654711217,0.0072440079618890825,-0.03334816542220541,0.0014858017419250792,-0.9762937045786169,0.0007738402516344288,-0.000727732150654048,0.005664309684775289,0.009363419858178743,0.052794088483210794,0.012041775829165439,-0.01545902149574336,-0.10511161989958975
hsa-let-7e-3p,0.16885972402371788,0.048900892106549375,-0.01175822982744372,-0.04758878208913451,-0.02010354055536952,-0.0014336774923349627,-0.024776714072080593,-0.008649467245717768,0.03253752237801077,0.013607757122544853,0.012213161382658131,-0.001072304558399227,-0.05204606165688812
hsa-let-7e-5p,0.07358513177491263,0.028821977759008747,-0.04595005494215103,-0.1767877300966099,-0.3370051634830624,-0.005706980149663286,-0.004777952085674568,0.022607125829263112,-0.03726504186095106,0.027620520801008065,0.015681831947904637,0.032631716359571246,0.015854436171075577
hsa-let-7f-1-3p,-0.019728030799865223,-0.012553328166229713,0.05872965165190391,0.021589231477008728,0.5541382998964041,-0.01395941913485307,-0.04287348233467446,-0.007575151518648211,-0.006483454831052786,-0.0002920190136379975,-0.0036531759742792847,-0.08964295954537865,0.005492076041948347
hsa-let-7f-5p,0.13334234817966675,-0.11960059080713,-0.1304991039722728,0.005292474922644793,-0.7886742762860705,-0.004990073918941684,-0.010724616218808177,0.012657332876192697,-0.011469671553811135,0.030271093590942086,-0.00287310357634215,-0.03157940960802234,-0.12996974690932042
hsa-let-7g-5p,0.10347430843506786,-0.17474837122308648,-0.0027460853294154967,0.2321839839964699,0.829532068912918,0.014475535683118749,-0.02399216046147523,0.0019772633185683084,-0.11602471985901476,-0.043538630420048983,-0.03194164805398751,-0.005224188972406057,0.003254544349069745
hsa-let-7i-5p,0.00743310386990815,0.010734211305462404,0.0033040298454566235,0.08139334911737184,0.85444770370642,0.006146790934457317,-0.008326473962578521,0.017833421187304285,-0.0389790159500784,-0.017340775355013896,-0.018768369408843313,-0.03763102088469191,0.016498341964693398
hsa-miR-1-3p,0.02981513481265334,0.0032903955621593744,-0.0004968413912402263,0.01103145365223874,0.9189236073828061,0.0031550656711863798,-0.01349675328395475,0.009465405925342812,-0.003611160468941596,-0.10004502621135303,0.00659689018118361,-0.02146623887733675,0.07032642141588498
hsa-miR-100-5p,0.10291181056412377,0.003376248556492191,-0.0027690874349513986,0.028602536071769442,0.9622650083114853,-0.029688687531753487,-0.00561194062428154,0.01352677664221826,-0.057265818684390526,-0.023989887189586858,-0.005482708783345152,0.005172116409177104,0.01575595082094098
hsa-miR-101-3p,0.06836844551004082,-0.0740953774309945,0.018718291454987688,-0.004427193540734412,0.9489680983763424,-0.025729688934408378,-0.016209472149271712,0.021733739113152947,-0.06131381547936412,-0.027395344441075553,0.0030786553316342756,0.0037376895608187423,0.08424030167322225
hsa-miR-10396a-5p,-0.005818406472194476,0.0012429532977762832,-0.003198374669403874,0.06799899373038969,-0.9200555015901954,-0.010335322739640515,0.008147946007408915,0.015191006435802757,0.085310085933763,0.020850222361200987,0.010289649309552189,-0.003346574521492695,-0.042581655189679705
hsa-miR-10396b-5p,-0.0011374267975706113,-0.001486754167596568,-0.010297496728165371,0.12745373499560544,-0.9176665082348685,0.0017361586960626374,0.01628667849111523,0.011723410134033194,0.06525308251793883,0.02820351182549686,0.015367562387108092,-0.005784974555647368,-0.07069476535361977
