,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
AAAS,-0.1638661739142117,0.3024077904851967,-0.422113189491005,0.4121387083683242,-0.03596814516607042,0.004360517768715263,0.08299847004065908,0.038996495294583135,-0.027614940324627125,-0.009140388102511233,-0.00079772255991313,-0.1083718239012975,-0.016643300957152288
AAGAB,0.01148332670985328,-0.04436706453506957,-0.13192271062172284,-0.039161381972187714,0.05823395966706893,0.03362999946873671,0.22900651313777015,0.05124713738380063,0.014224011804368785,0.16411314857983,-0.012142565239904465,-0.07347768419338573,0.1102011490939918
AAK1,0.15364393324814202,0.01972919932094075,-0.1778729888185988,-0.019417659259295686,-0.09655682624041154,0.04476016322788717,-0.0036417540463377675,-0.005373786746611761,0.02029095084197296,0.3245013994925592,7.978163528842873e-05,0.08523800454426692,0.017908123614207877
AAMDC,-0.04856234281474917,0.09386765047653185,-0.04623707219719442,-0.01702845077806399,0.02927425903634171,0.0029612090352202566,0.0036277498945659755,-0.07124400764517945,0.06277497538888356,-0.33163892226670155,-0.003209720836809723,0.1973441853359577,-0.054814455163549845
AATF,-0.01982354966252273,-0.11111008610238794,-0.34228381044722467,0.042825329662012454,-0.07892156622468285,0.02004896526909502,0.4978665904762432,0.01396599094401214,-0.0065126249474206565,0.0966189383236003,-0.03920771605492304,-0.18324268023361778,0.014830827473991321
ABCA1,-0.1463243627906377,0.002904131315712171,0.5250469759568736,-0.047757285058568986,0.030358398216016658,-0.010710119884246493,-0.03350891649296287,-0.00969571028349593,-0.014314420488302998,0.038791213445564444,-0.008461752089565091,-0.015549689845710313,0.04914544339032546
ABCA2,0.013579998902168895,-0.0414612422478503,0.06529886412643986,-0.36785059011868465,0.11293623001390775,0.005807344641742646,0.00548759245192743,0.016932602818825103,-0.039428444259470154,-0.01828001669246279,-0.026394075522366715,0.02172981729889091,-0.007887350797865147
ABCB1,0.14768465403767986,-0.3165300478981417,0.009503963889956871,-0.04966989203241769,-0.018603381281321676,0.007918706953518508,-0.0053523426490259315,-0.03255690439516641,-0.02442799660416443,0.02057412714271656,-0.001750211531771952,-0.056234849508463,-0.17399578916156655
ABCC1,-0.18485008585173768,0.0010742206388096385,0.2131854196730351,-0.09261387264437874,0.037051600280759246,0.025827401622633726,-0.19808509211446268,0.04791481977208986,-0.012981133342194555,0.19095855012346602,0.014197193518818289,0.03999155069726873,0.023160562331978732
ABCC3,0.004027220846078746,-0.3147336076255307,-0.018052418656772512,-0.3674737707951308,-0.014461573839298704,0.013253525316628429,-0.00866222708303671,0.043540370903893205,-0.05558887828363298,0.1684293786170832,-0.00920786579329382,0.04433222794888953,-0.059142602079927255
ABCC4,0.0065338824347381955,0.13757232658006527,0.41065235875973743,-0.34977229445009456,0.11091719209738685,0.0122167380635547,-0.08608132238108686,0.007810151787844621,-0.10176494414658004,0.10885335917982442,0.00022087229686706356,-0.11800624904838247,0.021726412070045567
ABCF1,0.04881501803209628,-0.19671469179588058,0.29795038238113347,-0.16161681095924305,0.08191184257967736,-0.16199337340940073,0.012940354082632213,-0.07040596571991108,0.029270988493747468,-0.05124690240002087,-0.016681157711839673,0.01575483187255457,0.16563257819153338
ABCF3,-0.00045847514279608514,0.03415010866349645,0.021976008209061548,-0.13852989399231955,-0.006716312605286799,-0.09403477076718719,-0.01842967108152805,0.037559675680238644,-0.10609270498501297,0.007901157871779236,0.0010908627695907544,0.01841156001469661,0.024809986679950546
ABHD15,0.008956761542586407,-0.04953386806115692,0.046439448108445365,-0.030955300740237193,0.010241733791354497,0.0018604557431537837,-0.12174668569501507,0.0006273242174588228,-0.016455809353411177,0.1572933795395933,0.005461123071043625,-0.009073826425589801,-0.017708425487073673
ABI1,-0.21165697291563684,0.20545502270992066,-0.0006512152270160914,0.3386048444932167,-0.049699833166611675,0.038165001897148144,-0.3804035348298715,-0.0005768538595576522,0.018760794945263372,0.0043851161079903386,0.021734838892287382,0.06099023765827543,-0.025824366154137142
ABI2,0.012710794803952123,0.19947826640409763,0.02022913235092889,-0.27180364271752266,0.09753313839932846,-0.04903285737173074,0.014169267629935237,0.02034229756348449,0.007035559355237064,-0.037618340423053995,-0.008499614592029815,0.08136013600722466,0.004037792154369472
ABI3,0.1578961765997818,-0.03394545485907789,-0.24354660597581576,0.3310706476349957,0.0763301587397533,0.018760552831202003,0.08554969760714605,-0.007947585172613684,-0.009233864837512889,0.11491403120590225,-0.009745726531709166,-0.009878836979338251,-0.0035771283188687376
ABI3BP,0.04055069731577597,0.012113228848190122,-0.034867193387251874,-0.028740105370419728,0.03936961823249028,0.0035545608855921647,-0.005039230668423516,-0.0002965986008186498,0.024130289234349886,0.04251702915955186,0.0012600196361193146,0.09888311722709957,0.012421574885733772
ABL1,0.12557065057881855,0.10975028772341996,0.2309011651557695,-0.5233526150324738,0.03209237952255358,-0.045527605600871046,-0.016212137448858206,-0.0009820477759350885,-0.02188045497296415,-0.02537396898556748,0.010992707946975863,0.037846786948646266,0.017826395297145893
ABL2,-0.08170697707700136,-0.4183232000685133,0.38556578237392547,-0.26949917371909127,-0.0021627007486938648,-0.1782980874280779,0.01825352316610986,-0.033107428690096384,-0.017172501773994174,-0.14382583274728267,-0.006905357018545951,0.32283895822403846,0.18385307297000877
ABLIM1,0.19937105731237595,-0.04991299888429358,-0.36673232730923616,0.06498571534034153,-0.01834724283026288,-0.003662209660657182,-0.1346723208248272,-0.010034722682666204,0.013204023029839584,0.0911236809911445,0.010252860813068095,-0.028705185614582667,-0.024430221735923217
ABLIM2,0.00997156251358821,-2.92467404986023e-05,-0.1346412952713307,0.08885253741677421,0.011060230818952941,-0.04499002476431066,-0.19742844749140306,-0.029290233492082263,0.043599560775389914,-0.03447642499543518,0.018937258300835574,-0.03302984005395757,-0.2235540413559178
ABLIM3,-0.11107480515241219,0.08865823643257405,-0.23985341628195297,0.07322628276304127,0.01828870826144707,0.007178165795728248,-0.05334449752769576,0.05502228686734594,0.016443701832212023,-0.07002537003009007,0.04153117012534965,0.37921692627915066,-0.1528383294850496
ABR,0.01945350865364296,0.1550042354247619,0.005372698437779051,0.2794911081957449,0.019780931185840372,-0.009737184035164095,-0.2697265931939607,-0.016926409252137998,-0.019025354687784327,0.022617170694126415,0.029593203789846034,-0.03273508679583048,0.02330215149449062
ABRAXAS1,-0.05852235667208902,-0.010295653722055953,0.19920684053348878,0.05567146239390684,0.12152541862645326,0.015200349062164517,0.07118121095262542,-0.04045619096860012,0.046339827645023486,-0.0034635171267302692,0.011079516895369415,0.02287636484485231,-0.11380556135376207
ABRAXAS2,-0.0008548038834124848,0.028741451909664706,-0.12755894421806743,-0.014981173819344265,-0.06205666841571957,-0.008126970819107494,-0.00319805034142058,0.01778581551179779,0.0008839955272884779,-0.2980919839980976,0.0006920153492910257,-0.03411961619092474,-0.016833002061809474
ACACA,-0.11687963040011153,0.2225832295253726,-0.4218847921149554,0.3685846073588075,-0.21594695038664574,0.07795585332676054,0.005408691103902315,0.0005154352660481439,-0.0222841825279796,0.007731530693960283,0.010928397351999844,-0.08284068126897406,-0.025040778512933678
ACACB,0.21655642680541526,-0.01766331124724344,0.004005797810933853,0.2413148316427801,-0.04323913041823797,-0.058206970896222704,-0.0018926194711351603,-0.013255037522259337,0.01759572322697147,-0.0030119239142945902,-0.006210619874232171,-0.000940647076485597,0.00010626353654531565
ACAP1,0.11542379241900023,-0.19220242681208127,0.34932528184942996,0.4462253750512316,0.10282571794947451,0.005657304419352915,-0.036360239654502455,-0.04209748719188577,-0.08951334750151015,-0.040811897865763544,0.0003099772145625111,0.03167821380157297,-0.0003351081101546622
ACAP2,0.021054202734119103,-0.19204277344604911,0.35454288563234904,0.11675507995759274,0.18191772902239375,-0.14072043372479623,-0.029719202856455178,0.05241250222187281,-0.126008967660874,0.18334095824983462,0.01248533609919277,0.04100775772576423,-0.028439236480647966
ACBD3,-0.0014206185162932736,-0.006760820036289571,-0.4849862400988013,-0.02354170238355843,-0.12567539271639444,-0.029958142817185184,0.2678803876731646,0.02461348278087163,-0.017211798052067906,-0.04185893596522844,-0.012820354393127575,-0.19470566797062985,0.011550537580327529
ACBD5,-0.18277521983467931,-0.05901889704695191,0.32043013152070093,-0.20288573078545644,0.010533323431743367,0.01783575982214095,-0.12160669704255478,0.049465640251174524,-0.033465786271005056,0.3279867450192269,0.019969413088017692,0.06498336240569555,0.033453781499795845
ACD,0.17640514340662036,-0.18569485826314094,0.009197073037915322,0.025667044555157222,0.00875397433624717,0.0024520838941551144,0.16350421980276642,0.0019607278121081813,0.03304583126301456,-0.011372089059391646,-0.019044985209884537,-0.022524653075388996,0.0676160050715321
ACIN1,0.0028117312262051627,-0.2939448259033136,-0.17963269035037857,0.3670988730883295,0.01664659663546159,0.07368027922171254,0.2289447236950092,-0.008827543417872086,0.0008968621547769713,-0.014943076640407567,0.011149202088207504,0.0033986594811417363,-0.029134907877574417
ACLY,0.08972819945208253,-0.2842191941843635,0.4311936273711271,-0.2580247925126055,-0.009966801052831644,-0.013138659123832655,0.02588252290715774,-0.0061485477632369145,0.17036845611391974,-0.007931473661366312,0.01854978648465836,-0.04641160766296383,-0.04274560709139845
ACO1,0.001980975051194259,-0.07469576617379924,-0.18426082178536063,-0.05795776335530187,0.035136348902134476,-0.006410993768607776,0.25409219195301935,-0.1609416599922851,0.01411418156951239,0.1604934113883538,-0.022638955053751637,-0.19452790080070007,0.03648642988918003
ACSL3,-0.19065629215937113,0.15855708159236492,-0.3778045992437014,0.29145303476961915,-0.08902116884194314,-0.013675950191976616,-0.010216978620055312,-0.019682593685917658,-0.08399379308660027,0.011334295140858562,7.851972040216938e-05,-0.2959766742432115,-0.034453720630023055
ACSL4,-0.2009882220320442,0.16285692674841287,-0.2997143912663949,0.4540394462328589,-0.06890710508531446,0.023925711177258314,-0.009036742009884004,-0.041624957856850275,-0.041485377525465196,-0.015433851041367316,0.036947777169242926,-0.021567186091063062,-0.17875192981269497
