,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
A1BG,0.012842775556908704,0.3927524963302072,-0.3309089306576939,0.2507740183745522,0.002088489180407286,-0.011101919175746704,0.01509469543498354,-0.12434482672203791,-0.0006951277114341162,-0.08410217647706647,-0.029179092101254134,0.06861705981244369,-0.016192036165189303
A1CF,0.2057999628125469,-0.38109866849883595,0.0051512861448655516,-0.2918871340185604,-0.07281455918794545,0.044542768664213916,0.0025336465035969125,-0.07393303918650543,0.024261442718184884,0.049908418380229004,-0.01051938565316535,-0.008081362486153387,0.00518937647411886
A2M,0.2024949906867932,0.2658475053514706,-0.20171574469925244,0.2656023638805586,0.010025380779585601,0.006555447656644763,-0.051762691484766706,-0.015127034329044551,-0.03698949367971172,0.017213497037300532,-0.002767269015796149,-0.03216854607039749,-0.040133154001270474
A2ML1,-0.01034108073290282,0.17615864682265328,0.042154366614528586,-0.0633654113505722,0.05646410786169982,0.05611836000417995,0.07524459976621774,0.060340111143278446,0.01287411014047665,0.12679139676904708,-0.007287642676035889,0.05592438030733458,0.1826789571018901
AAAS,-0.2184008472401666,0.02408705788213936,0.16453469005795143,0.014648322366249434,-0.09615953769016916,-0.00892034557266595,0.0252481263466304,0.03835280817501792,0.10630308957905715,0.04291867246701654,-0.0005034303734832311,0.018506341282132854,0.011215097714506034
AACS,-0.19925830886037268,-0.17314985393239155,0.01761437432147364,0.012077364478666341,-0.03161928077396648,0.03195688133899602,-0.3725303396911561,0.052991550062340784,-0.00028168630341531936,-0.02576755876818473,0.06649431724675338,-0.4787926737401821,-0.18568872449684704
AADAC,0.044845631076898186,-0.2071858809807629,0.019166864262296194,-0.27797224814882726,-0.007020772625225736,-0.024015320355975815,-0.06147440084827352,0.004927704778061477,0.07300208463494404,0.03436790070283316,0.004270873849204522,0.037455316760042406,0.04656214737118856
AAGAB,-0.10089057808873353,0.009092670687647254,-0.19638723216263018,0.041378452480339355,-0.015041125220311336,0.05785692137910093,0.1265153168553447,0.021315555818600333,-0.011630006860253988,-0.0015717414114153013,0.01613796384282723,-0.010165088003493852,0.18528681204715686
AAK1,0.11769635547846789,0.185554199873848,0.035524001635417385,-0.006317372900498397,-0.17470519368688284,0.0450537784503836,0.15848561236743577,0.007922556585938054,-0.10916050722015494,0.012601055290468954,-0.0031350114401722698,0.005663985914285266,0.022087140194681974
AAMDC,-0.0002171890194928128,0.28698814991463895,-0.33479203590769974,0.0071539008940704136,0.052760562801080185,0.023271689167785006,0.015534325297047659,-0.00606854155897058,0.02503212345185739,-0.03230274172922944,-0.03074546360423958,0.1947277717751567,-0.019467551614411122
AAMP,-0.02525395379471946,-0.20166157497389167,0.007509977656298759,0.30338991538130644,-0.11184215255947001,0.01106681516114897,0.08232075372674412,0.10005228468806099,0.09596570645785397,0.021865852596242477,0.0019095491416654545,0.008569272261887445,0.02625642494876511
AAR2,-0.001658471448678349,0.16029251597304434,-0.23036779840952246,0.010798499192733704,-0.04471295847510635,0.015288734740526068,0.16165853670548921,0.02472401663018904,-0.10830428719407145,0.05772829915164263,-0.017538843418952475,-0.03783567114571198,0.0052834547287250585
AARS,-0.000525294521292281,-0.06789177092742335,-0.277670348738042,-0.12226726093654815,-0.10920378991828575,-0.005522347020378113,0.35020734047205004,-0.019299096722956162,-0.06275850037450884,0.3043773758938157,-0.0007729780136567275,-0.07901021014496003,0.0207915131589544
AARS2,0.011236829598517767,-0.07398770622040585,-0.025570929453293048,0.001026224606060432,-0.0028678899066134646,-0.05889005964719959,0.008219202547767021,0.03845063303895891,-0.039960497143474376,0.15269154940602017,0.00457906965768439,-0.10377637596199547,-0.3285072066177381
AARSD1,0.012678946259645824,0.09782047405893421,-0.281454883745154,0.061702911602118486,-0.10991914613181798,0.016941839987573315,0.39108311808314505,-0.07481031833049315,0.0242460936455017,-0.02745606692084052,-0.012137523721505877,0.012482553807261985,0.15794864190379795
AASDHPPT,-0.15545012319391027,0.21203385686986406,-0.09777649811727868,0.16838937354544417,-0.013586070915072357,0.0018401089200598137,-0.0047776550015407575,0.23397715282607282,-0.0037543939606081984,0.07366574183517567,0.04000754771474631,0.032805908886166704,-0.09732952275326878
AASS,0.2871387934249105,-0.17818853210734506,0.0041678650395269605,-0.12956226876423854,-0.003769131220663332,0.09283111770104235,0.018793073571917868,0.01870959436742793,-0.009804263527386307,0.0008976146804342892,-0.020654754458600558,-0.031474425738386984,-0.035125715428842304
AATF,-0.016089187539410653,-0.016071028868322915,-0.08247878523176977,0.3428669791920164,-0.006138878614568449,0.025508582897923907,0.06721850364245285,-0.00850275273333835,0.04946192483474102,-0.053913777334247424,-0.00041343509567900907,-0.007890788758355324,0.07024879300876616
ABAT,0.14251116370924813,-0.22060581538157856,0.017954043326374115,-0.302388169718885,-0.08732564184272043,0.0037798537140969536,0.03478483324080925,-0.04596831274607924,0.060346635893367966,-0.06177351508384488,-0.006816560262898197,0.03985898215986511,0.023871922739229622
ABCA6,0.27128040553313804,-0.0021511613406112926,0.26204167951541535,-0.050546330379927555,0.0679950814456326,-0.04713025897863083,-0.003112593006233723,-0.021427484673956547,-0.037949518437447406,0.02127430306210262,-0.032608008768224866,0.011100583346004056,0.006577360889671902
ABCA8,0.2918437397092597,-0.023349727140868543,0.0843898951087091,0.06618408176505083,0.04177826664145338,0.022544380885058807,-0.0006505210176768581,-0.023362549218753303,0.020892158912534674,-0.1774192247174657,0.003662954721611423,0.121310702826206,0.02188453914649228
ABCB1,0.2414862615170288,-0.28870704593208446,0.09658344606731722,-0.24488081986640178,0.014833762761037681,0.059649299947704036,-0.07024597370612629,-0.0573294131112196,-0.009741107933409357,0.19659157936905888,-0.0005516388289462816,0.02963916977499123,0.031418553355357766
ABCB10,-0.057852141782818285,-0.1933087617018647,0.2980353483347204,-0.036509506157356854,0.022716312520217885,-0.021777121846182967,-0.04358994215233269,0.001367088005778935,-0.004677424583951336,-0.2137713723100981,0.03793078855841389,-0.012891757906432953,-0.027218090842203585
ABCB6,0.049216603341391454,0.04362434251161107,-0.025630657193669512,-0.20415548275125553,-0.005419085315202974,-0.024354797087311357,0.027873933995537153,0.0017534024298738093,-0.007701217881086017,0.0389310525979328,-0.017783338638296488,0.02333708533270258,0.027645565595407453
ABCB7,-0.0028222567710105726,-0.106114441381947,0.12760831688241292,-0.29765336345455073,0.1199514142618202,-0.015040115835629874,-0.0004623135998676437,0.03245446317294828,-0.09211519761083901,0.22060034724986025,-0.008989058910370678,0.0649517388373386,0.014063391008937613
ABCB8,0.008711586265349415,-0.12107856278769998,0.08437663402160517,-0.17454640975962335,0.0035369242918631407,0.06175112958995465,0.00435535366743176,-0.02446406982736293,0.005134222716793312,0.05246497994685997,0.009868520811747925,-0.04496491076904698,-0.0044471534387009095
ABCC1,-0.18002171972395264,-0.006748185045611186,0.07364343416238041,-0.02622635141873981,0.017617764408618425,-0.03406465611654104,-0.01057001539385213,0.024050684446988903,-0.016046302788383537,0.06415658862200503,-0.013316761167491665,-0.05584552474208111,0.015826201771376478
ABCC3,-0.046017741197059724,-0.21487545320356635,-0.06032207277028209,-0.16094774862780084,0.004478108286199923,-0.00538410790150459,-0.20690233374337935,0.03255533391088566,-0.008860875588644521,0.17940968394570456,0.013892935998722648,0.03328949952855408,0.010560813491789273
ABCC4,0.10623195577921739,-0.0013327214439918264,0.3810693119928414,-0.26769709045659434,0.10470379116519182,-0.008408562268399858,-0.056393204556157504,0.009720521617491658,0.016140995205722115,0.021127953955529463,-0.0002893310361501674,-0.058961817449923036,0.02442619029362459
ABCD1,-0.1392492749532169,-0.0021927872357313054,0.4583035077088137,-0.04802387874614844,0.019063975085466933,-0.04049306968361766,-0.1801462284522745,0.03328929401917908,-0.04880189877742707,0.06469031739907516,0.027701488989357242,0.0007191114795178145,-0.010754283893856477
ABCD3,-0.162042007603114,-0.15473807032005663,0.18872260835371094,-0.38945934007954136,-0.017477738746855764,-0.0007202177420912986,-0.3542342595409244,0.12886647888725794,-0.151453256064267,0.2683826344998189,0.014314357527174044,0.0013903300895623384,0.03292435534020599
