,C3L-03394,C3N-03428,C3L-02112,C3N-01719,C3N-03670,C3N-02998,C3N-03211,C3L-01052,C3N-00512,C3N-02295,C3N-01012,C3N-01502,C3L-01053,C3L-03632,C3L-00401,C3L-01054,C3N-00517,C3N-03440,C3L-04495,C3N-04284,C3N-00957,C3L-03395,C3N-00303,C3N-00513,C3N-01166,C3N-01382,C3N-01011,C3L-04473,C3L-00640,C3L-00189,C3N-01998,C3L-01036,C3N-03069,C3L-00881,C3N-01715,C3N-03426,C3N-00198,C3N-01380,C3N-01388,C3L-03388,C3N-02589,C3L-03356,C3N-02944,C3N-00436,C3L-00928,C3L-01124,C3N-02592,C3N-01383,C3N-03439,C3N-03006,C3N-01165,C3N-03173,C3L-04475,C3L-04853,C3L-02701,C3L-00102,C3N-01375,C3N-03884,C3N-01168,C3L-00622,C3N-01381,C3L-01703,C3L-02118,C3L-03628,C3N-03780,C3L-01637,C3N-04119,C3L-02899,C3N-02971,C3N-02573,C3L-00819,C3N-01714,C3L-02116,C3L-01453,C3L-03635,C3N-00518,C3N-03840,C3L-02606,C3N-03061,C3L-04848,C3N-00514,C3L-02897,C3L-01687,C3N-02940,C3L-04080,C3N-03853,C3N-04283,C3L-02109,C3L-03630,C3L-01662,C3N-00709,C3N-03007,C3N-03665,C3L-01598,C3L-00599,C3L-01051,C3N-01716,C3N-03839,C3L-04479,C3L-00625,C3N-03754,C3L-01037,C3N-03666,C3N-04126,C3L-00017,C3L-01689,C3L-04027,C3N-02585,C3N-03039,C3N-03086,C3L-02463,C3N-00249,C3L-00589,C3N-00302,C3L-03743,C3N-00511,C3N-03190,C3N-00516,C3L-02610,C3N-02579,C3N-03000,C3L-00598,C3N-03430,C3L-02809,C3N-02768,C3L-03123,C3N-02010,C3L-01031,C3N-01167,C3L-01971,C3L-02604,C3L-00277,C3L-01328,C3L-03639,C3N-04282,C3L-04072,C3L-02613
A1BG,NA,NA,NA,NA,NA,NA,NA,NA,13.8391382741744,NA,13.4119661620972,NA,13.5910434568356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9667577714487,NA,13.2326608947982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5933752873703,NA,NA,NA,NA,12.7879889014511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3424121998722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4619551603059,13.52970377844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2882447819892,13.8558026500141,NA,NA,NA,NA,NA,NA,NA,13.2231969389211
A1CF,NA,14.0871112927425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5311658362014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9445263380124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6967674198209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.515316870176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7817543762393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3946778832628,NA,NA,15.4320753850846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9717896565441,NA,NA,NA,NA,NA,NA,NA,NA,14.0410583013108,NA,NA
A2M,NA,NA,NA,16.7805237560135,16.3497111814474,NA,16.7775172070528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6546907487335,NA,NA,NA,NA,NA,NA,15.5732388458474,NA,NA,16.2695864657568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6850038994227,NA,NA,16.4941832715154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5162044461561,NA,NA,NA,NA,NA,NA,NA,NA,16.6880842862751,NA,NA,NA,NA,NA,NA,15.8943375571319,16.7635635951613,NA,17.1447782988889,NA,NA,NA,16.5261712558273,NA,NA,NA,NA,NA,15.7253068997254,NA,16.968148368493,NA,NA,NA,NA,16.3228132318168,16.9762567491654,NA,NA,16.0503957144358,NA,NA,NA,NA,NA,16.7173603512376,NA,NA,NA,17.7952277630147,NA,NA,NA,NA,NA,NA,NA,NA,16.4486091769663,NA,NA,NA,NA,NA,NA,NA,NA,15.8941407686369,15.5232405081748,NA,NA,NA
AAAS,22.2106198723881,23.92091133801,20.4049309469903,22.5736874849504,22.3512240712444,23.1014198146609,22.4688536119799,19.1536379227269,21.0273365938199,22.9344531894604,22.107072240884,22.4805206219272,20.1886077718802,19.8960358913695,19.8382511634346,20.2718258733233,20.9892673702848,18.702776249665,22.8624710574488,20.3899286622502,22.7771341366609,22.007290799715,23.4364329145488,20.6697773187562,19.9088736201811,20.5506729323529,21.1966973011259,21.475605077117,20.4120327437422,21.9446883875083,22.6814891819406,19.1413409413287,22.7797648431297,20.9316779662693,24.3380974759899,20.5520481715736,23.2488117903657,23.0231753303885,21.6951800948116,23.5244466826642,22.6321980836064,23.1667506433951,22.752856510756,20.0446935565825,20.7913082873545,22.378071448841,23.5373449865692,23.3124359193339,23.171049092577,22.9953356220483,20.3786387381222,21.6633098106196,23.267127864136,20.5750975287466,20.2828940798297,21.7431178545081,23.5459056153821,22.6073982895185,18.7523081745203,19.4371381501568,19.0218122819008,23.5096861485236,22.6508073936527,23.4422753994715,23.2506360558445,20.5133057381137,22.9501328188452,23.9764033274423,23.3484810984307,23.2067170617025,22.7530879343881,22.5264589236303,22.8405601519967,23.0751243183631,23.2428226997563,23.2210607676093,20.717413944636,21.492528262576,21.9506400718765,23.1728955946135,23.0488767415025,23.5880184050056,22.5687196110983,22.1005320165921,21.1400836461898,22.0158729135479,23.1968620229964,23.4018843161247,23.532053892164,19.1697043809637,23.2496701177801,23.6984833819966,22.9756133193101,20.1234230943634,23.4549145777606,22.9083400895484,20.3002930241921,23.521606838239,23.4065239490048,23.4824672086532,21.3427492182056,22.3553463516533,23.3702844579884,22.7519358308882,23.1910469692272,20.682370599525,21.30836455646,23.1188187352339,22.6220219777175,23.4035139475433,23.6561623747035,23.6986148242597,22.6990832801377,24.3340667840269,23.3335265879139,23.557595171527,22.4631647720322,23.7335405768872,24.2601174572426,23.6296673766846,23.8502644378979,23.8534367942858,23.8692363837972,23.686757051634,20.181097251435,23.3241190575895,24.1307725563625,24.2614954113251,23.8754335351712,22.209015825703,23.7397882557559,23.2964806690712,21.6191868907457,23.1401286168225,23.7822218076684,23.9102488871354,23.4465040211992
AAED1,NA,15.3864803649417,NA,17.1040590385854,18.1494896142089,19.796124954742,18.2904256119005,NA,18.8665783850473,NA,18.8950612659152,NA,17.1303265197849,NA,16.8920952239436,18.9098463178774,NA,19.4345730735416,18.3255112654941,NA,16.843996205977,NA,17.8534268983261,NA,19.0749509496847,NA,18.4246785150572,NA,16.8426530883158,17.6378077393647,NA,NA,19.3034262698214,NA,19.3054851560031,NA,NA,NA,18.5260937872813,18.9776732141482,19.1376223254809,19.1868413014204,NA,NA,NA,NA,NA,NA,NA,19.3846928215146,NA,NA,NA,NA,18.2550933399497,18.8374694456491,19.466777453818,NA,NA,NA,16.9595173453636,NA,18.6896140416701,NA,NA,NA,NA,19.6132433139159,NA,NA,16.9027918140657,NA,18.8121292062144,NA,17.6770131930309,19.7693246723114,NA,NA,19.1310854428914,NA,19.1178145083551,NA,NA,18.0978167468037,18.309583589246,19.1394238190505,19.9607008405658,NA,18.1342659405471,20.0308442490053,NA,NA,19.486468890419,NA,NA,18.2675515822108,NA,18.8033198039558,19.0575211762929,17.7806271655967,NA,NA,19.3835876956959,19.1712090757606,18.0711489030498,17.7433395628799,NA,NA,NA,15.9871646750182,18.0579389454308,NA,NA,NA,18.7961866763575,18.5958464486061,18.3444775227641,NA,19.1695591060691,NA,19.8084693186585,NA,18.9049386521816,NA,18.398783994028,NA,NA,19.4941205010359,18.9945129479847,NA,NA,NA,NA,17.3323894790466,17.1541642601295,18.605854249878,18.5836250929823
AAGAB,18.5518741165039,18.7658595358784,20.1577909078083,18.7788674312431,19.4913934079594,19.3923305520177,19.7019392982685,20.0846358749847,NA,19.1448273077609,19.6396155677716,19.6597700419337,19.8622579671874,NA,NA,20.3293936992605,20.0260678169774,19.541706600984,19.5171714330535,19.2499371928245,19.6764192004823,20.3307604760746,19.5145381880254,20.0899620314139,19.5711462080925,NA,NA,19.0659178524926,17.93701818954,20.0468585549146,20.3409398354498,19.6125173894427,NA,20.7387894311102,19.4523531241555,19.4259839898274,18.9304726159845,19.0848554256046,19.7804848825052,19.3237294063727,19.4678455954632,20.0173339566732,19.3802180546569,18.5146431420182,19.4955133813503,NA,20.2734549162116,NA,20.1389898222729,NA,18.595000202486,20.2927827945847,19.7700517741245,19.0510916220994,18.7228622807937,19.4559841098828,NA,19.5997753393893,18.100806169317,19.889648233162,NA,NA,NA,19.0957798388241,20.1594765552989,20.3666907885312,19.4190778439375,NA,19.6842358174642,19.8557842679191,20.0215321415277,19.7569289787342,20.0610267312414,20.1214718628854,20.1148120867896,19.4557508246273,19.6575915473298,19.3398524566453,18.9847065640345,19.9041964488535,20.0073958933874,19.4951260572164,19.7148333203024,19.4643763316958,19.9874240825483,19.2731491320991,19.5203809337723,19.6648885359022,19.1005144129405,20.0733940685765,19.0747073818154,20.141506945668,19.368606941399,18.6802662323416,20.5465571355212,20.6874824391229,19.1549252293169,NA,18.9544264735641,19.1642036511127,20.21695624986,19.391304931229,18.8192927605026,19.9940608365124,19.0829012663373,18.963688627139,20.1151779151414,19.8316493973169,19.4212999011314,18.600001231124,19.8019139827454,20.4282938572407,19.8377029799894,NA,20.5004624064106,NA,19.7838820966705,20.5452412438617,19.0856120941351,18.1369248800641,19.2256935173076,19.4993549801145,19.8618007632829,19.6247507893916,19.4984483368704,19.3155138890323,NA,20.484297056195,20.0194303991181,19.9693567085659,19.4640804533027,19.9073467150086,19.0315131920987,18.75277965902,20.5473295722501,20.7402486298634,NA
AAK1,26.7238598580495,26.3051505495053,26.5019482592011,26.1055870808906,26.4438603571052,26.1572329581772,26.5152448938233,26.6167437176395,26.4706953043681,26.5086884519447,26.2210822904047,26.3533802223729,26.4137175710427,26.4000359077109,26.6053673249088,26.316318698215,26.375569005273,26.2716960928692,26.495819809491,26.4448234126187,26.3832399269631,26.2731675098534,26.4191606603437,26.4087593325874,26.3000158683808,26.4662724458146,26.2741480670297,26.6979536468803,26.0537143561762,26.3170529499223,26.1627996594609,26.3313506493814,26.4566865788127,26.4573832829489,26.1328907207859,26.0499081974763,26.36826435029,26.212736204464,26.1553781619484,26.2543044437442,26.4632904326743,26.2077810413679,26.3968599620792,26.2140842469215,26.2119650712243,26.4264800995101,26.4945955284891,26.3562799217163,26.6293742382285,26.1222517430953,26.3261557818606,26.3483150416355,26.4987612026629,26.2357580967804,26.2049488255605,26.0979018680556,26.2461062335934,25.9423067311543,26.2160665652277,26.3081143604958,26.2601924501545,26.3606881042014,26.2134040341975,26.4583337282423,26.4043774125095,26.3991432187079,26.393002174821,26.4724200677055,26.5084113711224,26.7434636798495,26.2013837166942,26.3964563942183,26.1817990120076,26.4479708033625,26.578936179308,26.1724630063204,26.4120965964274,26.5351982106586,26.3524568907843,26.4866137858951,26.3728953440334,26.4752882683189,26.1158984497208,26.1903331222435,26.3083013587418,26.3824185300268,26.2000914920335,26.3956972542452,26.627942233529,26.304896419546,26.1478362790887,26.3716287993769,26.2413411441833,26.7347037404256,26.3381750671842,26.1790074249821,26.3346823652381,26.3925689356508,26.5537235242859,26.5382202848778,26.2480259571594,26.7636692908257,26.4108358353166,26.2530668675401,26.4439572820812,26.2132032976443,26.3136287043244,26.4735796793343,26.4969051668262,26.4556744207392,26.3173135746339,26.1408363366476,26.412974778108,26.0702676916091,26.4102492764982,26.3316058409077,26.6355538792598,26.3490164358254,26.3743850859184,26.2842578021335,26.2026655415065,26.5986818860315,26.3288291075522,26.8875889018623,26.3243832068101,26.2961022069394,26.240438509574,26.3721599139904,26.3225332815198,26.2899453536932,26.2066081377849,26.1874718123233,26.2329620649034,26.030979233878,26.2186100849337,26.5158276773583,26.0537801784288
AAMDC,20.9398113698716,20.6270364330545,20.0591145227194,21.1584362373841,21.1174194167017,20.6119867174795,20.7674277346462,20.6542943650478,20.8209368400199,20.8798638120631,20.777698866576,21.0952058384832,20.6241137934496,20.4245712933508,21.0047313574807,20.8880089448309,21.4291900040932,20.8342080006708,21.0255783293074,21.0336387769149,21.7787036068943,21.307352302926,20.7519730926523,20.4805907576561,20.8866754838346,20.3646798759585,21.077950452979,NA,21.5865311941371,20.7630211874505,20.806450469885,21.1230848458925,21.3445462260886,20.2069548656284,20.7816442785259,20.4969142687308,20.8661122731767,20.4643445116368,20.8723951680297,20.9554148619499,20.9694449611528,20.5930090921899,20.5561825887936,NA,20.3888361375242,21.2299477815404,20.1308468063641,21.4598986604361,20.3556098899433,20.2713094281132,20.4868280797583,21.0280683838353,NA,20.4388006972806,21.1594213631265,21.1088975232153,21.4015888563154,21.0440035192664,20.5045679942796,20.8349995588111,20.2415980238839,21.7052583548252,21.1290103520397,20.9263379879756,20.6370090521741,20.8715157841838,20.8020354433686,20.9044657929795,20.5983561683494,21.0304947333811,21.5857433109296,20.8065772668567,20.6117124649251,20.8893657085014,20.4731600470536,21.0082072988881,20.7836210180316,20.7922211830429,20.6159098388271,21.0477767531042,21.1047627811476,20.9475209675024,20.8775104173255,20.8560746194954,20.6238894747068,20.6748761759929,20.4395705711246,21.3438878794762,20.6386175872362,21.1236391441558,20.8167572973962,20.6707852872317,20.8464060639126,21.032600467084,21.7260211061266,20.974900455951,NA,20.5034832594773,21.38783101588,21.1740322909915,20.7048644279583,21.6765490276447,20.6431850252287,20.7801044645555,21.6152619834323,21.3879073750938,20.5049023136681,20.9775574376486,20.6509978346534,21.2117160556983,20.9020262592045,20.1630422220333,21.1230346729602,21.6168147733689,20.5449818099132,20.2346672671197,20.5691367040387,NA,20.5348530663809,21.156310432073,20.6599132362778,21.0304614490068,21.0966015530046,20.8283324691442,20.4970398513009,20.9514605512745,21.2033540350742,20.7276090839569,20.8029788731368,20.8942452885795,20.2891784245587,21.5897874959552,21.1954129532664,22.1517024695109,21.9408190402395,20.5797495170887,20.8590915108157
AARS,20.8888276553984,20.3475100360919,NA,NA,NA,19.9838951904467,20.0469697083732,20.5200689731574,18.9860222601076,20.0736322921914,21.1310948045614,NA,20.2256302865853,NA,NA,NA,NA,20.3862378404138,20.7518904385999,NA,20.3615433326681,NA,20.5653500356439,20.1247341468501,NA,NA,NA,NA,NA,20.6465413410558,20.4289638058,NA,21.5605609818506,20.1483695359549,20.5733411534993,NA,20.8797696642891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4355934582187,NA,20.6628041044739,NA,NA,20.054787261623,20.6815632826756,NA,NA,NA,20.5652023720581,NA,NA,NA,20.6631361307706,NA,20.9323299490141,NA,20.3942544346806,20.7646907040922,19.9050936376897,21.0172947194584,NA,20.0127698703374,20.7497767064758,20.6740542888421,20.06314343635,NA,NA,20.9024439305391,20.3236954063388,NA,NA,NA,19.9081022976665,20.6893102937348,20.9630070067017,20.9303122947935,20.9004414889765,NA,20.7976773053414,20.0244701990028,NA,19.9302391759069,20.8372944538101,NA,19.8418605268666,NA,NA,NA,21.5606877946067,21.0422844502656,NA,NA,21.3731015266494,NA,NA,20.6155014486392,NA,NA,20.782290446057,20.4378557078714,21.1928089228328,NA,NA,21.1604815013065,20.0798862532025,21.0700863431096,NA,21.2171190126493,20.5464948435838,21.0609712006273,NA,NA,20.5597003984817,NA,NA,NA,21.9442149397242,21.4805807632103,20.750516085206,NA,20.648650707442,NA,NA,20.074463972043,19.9785294202746,19.7855536544762
AARS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9873495708115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5519293719516,NA,NA,NA,NA,NA,14.2825953840681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7205917952512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2717133445691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7385409684901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5335484008279,NA,NA,NA,14.6167602722898,NA,NA,NA,NA,NA,NA,NA
