,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
circ_chr10_100260218_100262063_CWF19L1,0.05466592165958621,-0.0005085328659925508,0.0033012965429297255,0.3595732177697333,0.002919992163805176,0.01096458187710887,0.03327533123687932,0.007572091477044499,-0.008183614694217887,0.006058208625800033,0.024244145152421834,0.04211849485301189,0.011225803130432373
circ_chr10_100923975_100926019_SLF2,0.1031533725734406,-0.007137400050386617,-0.015605401170877838,-0.014981863091172446,0.014268293230509006,-0.027682453303144373,0.15887321887438585,-0.06463480689826585,-0.6806350302439587,-0.02858102135450419,-0.0031414897398539957,0.11744206771450161,0.007671695736825319
circ_chr10_100937402_100950753_SLF2,0.0013548497575689258,-0.04339103891858424,-0.052097112718743316,0.016751158792253154,-0.006611831265347973,-0.002301670594333944,-0.008260313974429756,-0.004554428811203859,-0.2977996849719854,-0.021230625981526648,-0.003462163239259012,0.00384619014161101,-0.0047312337267503635
circ_chr10_101667886_101676436_FBXW4,0.17950387996909112,-0.006996062303942695,-0.17179458266709877,-0.011688325100867458,0.24861191397270732,-0.010020558030426093,0.014582843141216063,0.07000451961560479,-0.6412550519399728,0.013222301157195209,0.016944427632349757,0.026717685398926706,-0.016950039974179664
circ_chr10_101672915_101676436_FBXW4,0.1431248973650396,-0.012999381499825064,0.010311952511744068,0.04542186068534217,0.040684656362025715,0.005927481238126614,9.394073201726881e-05,0.011455753471200937,-0.18944741684076846,-0.0025813444027303995,0.011564885925709815,-0.01944288951138719,-0.0022654286554084258
circ_chr10_101792839_101810314_OGA,0.030368153280628644,0.020778713209912265,-0.02089571227031306,-0.09139806654017901,-0.0010601271479593534,0.010414052622832234,0.022103972699377045,-0.018826140984785057,-0.14733689183073195,0.009790345417888965,0.020486721862796542,0.007782004604866278,0.00022227630648059534
circ_chr10_101797980_101810314_OGA,-0.018286281889698122,0.007835276476947192,-0.12836977070846728,-0.004898075842079983,0.0009213163624133535,-0.00887190858102118,0.025436776288908586,-0.06448370323305881,0.025155734915510118,-0.020904090297843105,-0.044075134257638676,0.09955251140064407,0.0036961297300452307
circ_chr10_102023477_102025248_ARMH3,-0.018286281889698122,0.007835276476947192,-0.12836977070846728,-0.004898075842079983,0.0009213163624133535,-0.00887190858102118,0.025436776288908586,-0.06448370323305881,0.025155734915510118,-0.020904090297843105,-0.044075134257638676,0.09955251140064407,0.0036961297300452307
circ_chr10_102023477_102029745_ARMH3,-0.008517957427396628,-0.021116055378952277,-0.07724164140929789,0.040127893407732214,0.009561089601400745,-0.019819337219614062,-0.032418337141408085,-0.011226167339877831,-0.15249241689309248,-0.06159340499405688,-0.011401708898915964,-0.022020342619582887,0.0001877986084091246
circ_chr10_102157019_102158214_NOLC1,0.07027098852275616,0.008474242958341541,-0.004279326352421457,-0.05876950126073672,0.03274639957249891,-0.0022504629765957287,-0.00461291397175213,0.02073126765347405,-0.07288093214713155,0.010200398955607672,-0.011446109177461783,0.036193301026871794,0.026493047309319933
circ_chr10_102358039_102359435_GBF1,0.02685864449208326,-0.008806218976135205,0.006199030023544602,0.012033755895077693,-0.00038544823492538523,-0.003469427945284289,0.018673645232377415,-0.009943205831759533,-0.021232153342105684,0.0016463528873469691,-0.007251472822211041,-0.009097864227628883,0.01677150795567004
circ_chr10_102872448_102874661_BORCS7-ASMT,0.040650992264209165,-0.02782494532345705,0.015972518086818408,-0.027225847344924985,0.03356870189704365,-0.0013731186266931917,0.014085608220939036,-0.005836495702885798,-0.01991608189020065,-0.0043280690642843395,-0.006214297698412879,-0.001290316050631634,0.0031946879555510145
